Description;Return Rate
 50'S CHRISTMAS GIFT BAG LARGE;-0.10454783063251437
 DOLLY GIRL BEAKER;-0.14297385620915032
 OVAL WALL MIRROR DIAMANTE ;-0.5364806866952789
 SET 2 TEA TOWELS I LOVE LONDON ;-0.0958887690279276
 SPACEBOY BABY GIFT SET;-0.4056795131845841
 TRELLIS COAT RACK;-0.4424778761061947
10 COLOUR SPACEBOY PEN;-0.33635794743429287
12 COLOURED PARTY BALLOONS;-0.936768149882904
12 EGG HOUSE PAINTED WOOD;-0.6756756756756757
12 IVORY ROSE PEG PLACE SETTINGS;-0.10330578512396695
12 MESSAGE CARDS WITH ENVELOPES;-0.05750431282346176
12 PENCIL SMALL TUBE WOODLAND;-0.0444247001332741
12 PENCILS SMALL TUBE RED RETROSPOT;-0.4601226993865031
12 PENCILS SMALL TUBE SKULL;-2.9401070074281854
12 PENCILS TALL TUBE POSY;-0.6335797254487857
12 PENCILS TALL TUBE RED RETROSPOT;-0.08518924181574784
12 PENCILS TALL TUBE SKULLS;-0.06195786864931846
12 PENCILS TALL TUBE WOODLAND;-0.24271844660194175
12 PINK HEN+CHICKS IN BASKET;-17.142857142857142
12 PINK ROSE PEG PLACE SETTINGS;-1.9047619047619049
15CM CHRISTMAS GLASS BALL 20 LIGHTS;-0.14139881362946613
16 PIECE CUTLERY SET PANTRY DESIGN;-0.3968253968253968
2 DAISIES HAIR COMB;-50.0
2 PICTURE BOOK EGGS EASTER CHICKS;-0.5882352941176471
20 DOLLY PEGS RETROSPOT;-0.2127659574468085
200 BENDY SKULL STRAWS;-0.15151515151515152
3 DRAWER ANTIQUE WHITE WOOD CABINET;-1.1697574893009985
3 GARDENIA MORRIS BOXED CANDLES;-0.4694835680751173
3 HEARTS HANGING DECORATION RUSTIC;-0.0908958696916812
3 HOOK HANGER MAGIC GARDEN;-0.11841326228537595
3 HOOK PHOTO SHELF ANTIQUE WHITE;-0.38777135339126817
3 PIECE SPACEBOY COOKIE CUTTER SET;-0.07651109410864576
3 RAFFIA RIBBONS 50'S CHRISTMAS ;-0.47732696897374705
3 ROSE MORRIS BOXED CANDLES;-0.3593890386343217
3 STRIPEY MICE FELTCRAFT;-0.09108976482278901
3 TIER CAKE TIN GREEN AND CREAM;-0.3233256351039261
3 TIER CAKE TIN RED AND CREAM;-1.6297428062133943
3 TIER SWEETHEART GARDEN SHELF;-1.8518518518518516
3 TRADITIONAl BISCUIT CUTTERS  SET;-0.647911338448423
36 DOILIES DOLLY GIRL;-1.3172338090010975
36 DOILIES VINTAGE CHRISTMAS;-2.2277227722772275
36 FOIL HEART CAKE CASES;-2.6624627780697145
36 PENCILS TUBE POSY;-12.857142857142856
36 PENCILS TUBE RED RETROSPOT;-0.2794076557697681
36 PENCILS TUBE SKULLS;-0.89736399326977
36 PENCILS TUBE WOODLAND;-1.1254501800720287
3D CHRISTMAS STAMPS STICKERS ;-1.2089810017271159
3D SHEET OF CAT STICKERS;-1.5625
4 TRADITIONAL SPINNING TOPS;-0.10235414534288638
5 HOOK HANGER MAGIC TOADSTOOL;-1.87018701870187
5 HOOK HANGER RED MAGIC TOADSTOOL;-0.11873920552677031
5 STRAND GLASS NECKLACE CRYSTAL;-5.555555555555555
50'S CHRISTMAS PAPER GIFT BAG;-0.07401924500370095
6 EGG HOUSE PAINTED WOOD;-0.6734006734006733
6 GIFT TAGS 50'S CHRISTMAS ;-0.5430355688297583
6 GIFT TAGS VINTAGE CHRISTMAS ;-0.30060120240480964
6 RIBBONS ELEGANT CHRISTMAS ;-0.6711409395973155
6 RIBBONS RUSTIC CHARM;-0.061937552373665605
6 RIBBONS SHIMMERING PINKS ;-0.8626887131560028
6 ROCKET BALLOONS ;-1.2345679012345678
60 CAKE CASES DOLLY GIRL DESIGN;-0.32441200324412006
60 CAKE CASES VINTAGE CHRISTMAS;-0.49545829892650706
60 TEATIME FAIRY CAKE CASES;-0.12056541019955654
72 SWEETHEART FAIRY CAKE CASES;-0.24565381708238848
ABC TREASURE BOOK BOX ;-0.2120640904806786
ADVENT CALENDAR GINGHAM SACK;-1.214171974522293
AFGHAN SLIPPER SOCK PAIR;-0.3868471953578337
AGED GLASS SILVER T-LIGHT HOLDER;-0.03976519598560878
AIRLINE BAG VINTAGE JET SET RED;-0.24198427102238354
AIRLINE BAG VINTAGE TOKYO 78;-0.1289134438305709
AIRLINE BAG VINTAGE WORLD CHAMPION ;-0.3558718861209964
ALARM CLOCK BAKELIKE CHOCOLATE;-0.16158221302998965
ALARM CLOCK BAKELIKE GREEN;-0.027395115842204134
ALARM CLOCK BAKELIKE IVORY;-0.12206572769953052
ALARM CLOCK BAKELIKE ORANGE;-0.07504236262406197
ALARM CLOCK BAKELIKE PINK;-0.04530837320838537
ALARM CLOCK BAKELIKE RED ;-0.028968146782382673
ALPHABET STENCIL CRAFT;-9.646799116997792
AMBER DIAMANTE EXPANDABLE RING;-24.0
AMBER DROP EARRINGS W LONG BEADS;-17.647058823529413
AMETHYST DIAMANTE EXPANDABLE RING;-32.14285714285714
ANGEL DECORATION 3 BUTTONS ;-0.06235524674861928
ANGEL DECORATION STARS ON DRESS;-0.903342366757001
ANT SILVER LIME GREEN BOUDICCA RING;-3.8461538461538463
ANT WHITE WIRE HEART SPIRAL;-0.2958579881656805
ANTIQUE ALL GLASS CANDLESTICK;-0.2568493150684931
ANTIQUE GLASS DRESSING TABLE POT;-0.15091555436313636
ANTIQUE GLASS HEART DECORATION ;-0.3067484662576687
ANTIQUE GLASS PEDESTAL BOWL;-0.1708479453286575
ANTIQUE HEART SHELF UNIT;-0.826972010178117
ANTIQUE IVORY WIRE BOWL SMALL;-6.25
ANTIQUE SILVER BAUBLE LAMP  ;-0.7065217391304348
ANTIQUE SILVER T-LIGHT GLASS;-0.09559651012233934
ANTIQUE SILVER TEA GLASS ENGRAVED;-0.036891860733225736
ANTIQUE SILVER TEA GLASS ETCHED;-0.10464860101343908
ANTIQUE TALL SWIRLGLASS TRINKET POT;-0.19357336430507163
APOTHECARY MEASURING JAR;-1.5151515151515151
APRON APPLE DELIGHT;-2.5641025641025643
ASS FLORAL PRINT MULTI SCREWDRIVER;-0.6612784717119765
ASSORTED BOTTLE TOP  MAGNETS ;-0.7348138471587198
ASSORTED CIRCULAR MOBILE;-0.28735632183908044
ASSORTED COLOUR BIRD ORNAMENT;-0.018324583344786195
ASSORTED COLOUR MINI CASES;-0.07567158531971245
ASSORTED COLOUR T-LIGHT HOLDER;-0.06904170118751726
ASSORTED COLOURS SILK FAN;-0.8058227190018196
ASSORTED CREEPY CRAWLIES;-0.9156810377718427
ASSORTED EASTER DECORATIONS  BELLS;-1.9160583941605838
ASSORTED MONKEY SUCTION CUP HOOK;-0.15337423312883436
ASSORTED SHAPES PHOTO CLIP SILVER ;-5.3452115812917596
ASSORTED TUTTI FRUTTI BRACELET;-0.9501187648456058
ASSORTED TUTTI FRUTTI HEART BOX;-6.578947368421053
ASSORTED TUTTI FRUTTI LARGE PURSE;-0.8547008547008548
ASSORTED TUTTI FRUTTI MIRROR;-2.2304832713754648
ASSORTED TUTTI FRUTTI PEN;-0.8354573775134524
ASSORTED TUTTI FRUTTI SMALL PURSE;-0.1358695652173913
ASSTD DESIGN 3D PAPER STICKERS;-0.4397215097105167
ASSTD DESIGN RACING CAR PEN;-2.5874125874125875
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS;-2.9168646080760094
ASSTD MULTICOLOUR CIRCLES MUG;-0.25380710659898476
BABUSHKA LIGHTS STRING OF 10;-0.2918287937743191
BAG 125g SWIRLY MARBLES;-0.15586369988175855
BAG 250g SWIRLY MARBLES;-0.03243173120581177
BAG 500g SWIRLY MARBLES;-0.46328468844104703
BAKING MOULD CHOCOLATE CUPCAKES;-0.6937033084311632
BAKING MOULD EASTER EGG MILK CHOC;-9.948979591836736
BAKING MOULD EASTER EGG WHITE CHOC;-0.5119453924914675
BAKING MOULD HEART MILK CHOCOLATE;-9.47680157946693
BAKING MOULD ROSE MILK CHOCOLATE;-11.650485436893204
BAKING MOULD ROSE WHITE CHOCOLATE;-34.78260869565217
BAKING MOULD TOFFEE CUP CHOCOLATE;-7.9155672823219
BAKING SET 9 PIECE RETROSPOT ;-0.05160898603521554
BAKING SET SPACEBOY DESIGN;-0.08864435274338987
BALLOON PUMP WITH 10 BALLOONS;-1.1538461538461537
BANQUET BIRTHDAY  CARD  ;-0.7299270072992701
BASKET OF FLOWERS SEWING KIT;-0.12315270935960591
BASKET OF TOADSTOOLS;-39.92172211350293
BATH BUILDING BLOCK WORD;-0.24360535931790497
BEACH HUT DESIGN BLACKBOARD;-23.21428571428571
BEACH HUT KEY CABINET;-3.0303030303030303
BEACH HUT SHELF W 3 DRAWERS;-1.7316017316017316
BEADED CHANDELIER T-LIGHT HOLDER;-27.232704402515722
BEADED PEARL HEART WHITE ON STICK;-0.4408273991183452
BELLE JARDINIERE CUSHION COVER;-0.18567639257294427
BEST DAD CANDLE LETTERS;-3.3333333333333335
BIG DOUGHNUT FRIDGE MAGNETS;-2.130177514792899
BINGO SET;-0.17878426698450536
BIRD DECORATION GREEN POLKADOT;-1.4851485148514851
BIRD DECORATION RED RETROSPOT;-0.10917030567685589
BIRDCAGE DECORATION TEALIGHT HOLDER;-0.9316770186335404
BIRDHOUSE DECORATION MAGIC GARDEN;-0.7640878701050621
BIRDS MOBILE VINTAGE DESIGN;-1.25
BIRTHDAY BANQUET GIFT WRAP;-2.631578947368421
BISCUIT TIN 50'S CHRISTMAS;-0.42592592592592593
BISCUIT TIN VINTAGE CHRISTMAS;-0.16623376623376623
BISCUIT TIN VINTAGE GREEN;-0.2821670428893905
BISCUIT TIN VINTAGE RED;-0.2376782586940205
BLACK 3 BEAD DROP EARRINGS;-75.0
BLACK AND WHITE DOG BOWL;-0.467687074829932
BLACK BAROQUE WALL CLOCK ;-1.2048192771084338
BLACK BIRD GARDEN DESIGN MUG;-1.9230769230769231
BLACK CANDELABRA T-LIGHT HOLDER;-1.6465422612513718
BLACK CHAMPAGNE GLASS;-0.21944261575597981
BLACK DIAMANTE EXPANDABLE RING;-53.333333333333336
BLACK DINER WALL CLOCK;-3.125
BLACK ENAMEL FLOWER RING;-4.4303797468354436
BLACK HEART CARD HOLDER;-0.02053388090349076
BLACK KITCHEN SCALES;-0.4352030947775629
BLACK LOVE BIRD T-LIGHT HOLDER;-1.639344262295082
BLACK MEDIUM GLASS CAKE STAND;-5.555555555555555
BLACK PHOTO ALBUM ;-7.142857142857142
BLACK PIRATE TREASURE CHEST;-1.2548262548262548
BLACK RECORD COVER FRAME;-0.025770981874409415
BLACK SMALL GLASS CAKE STAND;-1.6666666666666667
BLACK SWEETHEART BRACELET;-1.0869565217391304
BLACK TEACOFFEESUGAR JARS;-1.6142050040355125
BLACK VINTAGE  CRYSTAL EARRINGS;-9.090909090909092
BLACK WINE GLASS;-0.17974835230677053
BLACK/BLUE POLKADOT UMBRELLA;-0.5102040816326531
BLUE  DIAMANTE PEN IN GIFT BOX;-38.297872340425535
BLUE  TILE HOOK;-5.0
BLUE  VOILE LAMPSHADE;-126.3157894736842
BLUE BLOSSOM HAIR CLIP;-16.666666666666664
BLUE CHARLIE+LOLA PERSONAL DOORSIGN;-8.548931383577052
BLUE CHENILLE SHAGGY CUSHION COVER ;-21.666666666666664
BLUE CIRCLES DESIGN MONKEY DOLL;-5.932203389830509
BLUE COAT RACK PARIS FASHION;-0.2699784017278618
BLUE DINER WALL CLOCK;-0.3215434083601286
BLUE DRAGONFLY HELICOPTER;-1.5625
BLUE DRAWER KNOB ACRYLIC EDWARDIAN;-0.3437334743521946
BLUE EASTER EGG HUNT START POST;-11.11111111111111
BLUE FLOCK GLASS CANDLEHOLDER;-0.9404388714733543
BLUE GEISHA GIRL ;-2.3255813953488373
BLUE GIANT GARDEN THERMOMETER;-0.3619909502262444
BLUE GLASS GEMS IN BAG;-0.3412969283276451
BLUE HAPPY BIRTHDAY BUNTING;-0.40650406504065034
BLUE HARMONICA IN BOX ;-0.2295040163202856
BLUE JUICY FRUIT PHOTO FRAME;-6.896551724137931
BLUE MONTE CARLO HANDBAG;-9.090909090909092
BLUE NEW BAROQUE CANDLESTICK CANDLE;-2.45
BLUE OWL SOFT TOY;-0.19569471624266144
BLUE PAPER PARASOL ;-0.3125
BLUE PARTY BAGS ;-1.8207282913165266
BLUE PATCH PURSE PINK HEART;-6.086956521739131
BLUE POLKADOT BEAKER ;-0.11761938367442955
BLUE POLKADOT BOWL;-0.1929880990672242
BLUE POLKADOT COFFEE MUG;-1.4194373401534528
BLUE POLKADOT CUP;-0.2035623409669211
BLUE POLKADOT GARDEN PARASOL;-0.641025641025641
BLUE POLKADOT PLATE ;-0.22055580061755622
BLUE POLKADOT WASHING UP GLOVES;-0.24271844660194172
BLUE POLKADOT WRAP;-1.6723650958822653
BLUE POT PLANT CANDLE ;-1.76056338028169
BLUE ROSE FABRIC MIRROR;-25.10460251046025
BLUE ROSE PATCH PURSE PINK BUTTERFL;-88.23529411764706
BLUE SCOTTIE DOG W FLOWER PATTERN;-1.694915254237288
BLUE SPOT CERAMIC DRAWER KNOB;-0.22907605989176988
BLUE STRIPE CERAMIC DRAWER KNOB;-0.15369836695485112
BLUE TILED TRAY;-166.66666666666669
BLUE VINTAGE SPOT BEAKER;-0.3267320130692805
BLUE WIRE SPIRAL CANDLE HOLDER;-9.090909090909092
BLUE/CREAM STRIPE CUSHION COVER ;-0.8347602739726027
BOHEMIAN COLLAGE STATIONERY SET;-1.9261637239165328
BOOZE & WOMEN GREETING CARD ;-0.398406374501992
BOTANICAL GARDENS WALL CLOCK ;-0.5674653215636822
BOTANICAL LAVENDER BIRTHDAY CARD;-2.4390243902439024
BOTANICAL LILY GIFT WRAP;-11.11111111111111
BOTTLE BAG RETROSPOT ;-0.34065102195306585
BOUDOIR SQUARE TISSUE BOX;-0.6513809275664408
BOX OF 24 COCKTAIL PARASOLS;-0.13106714019956028
BOX OF 6 ASSORTED COLOUR TEASPOONS;-0.17953321364452424
BOX OF 6 CHRISTMAS CAKE DECORATIONS;-0.30498744169357733
BOX OF 6 MINI 50'S CRACKERS;-0.5336277486429294
BOX OF 6 MINI VINTAGE CRACKERS;-0.6587976942080703
BOX OF 9 PEBBLE CANDLES;-1.25
BOX OF VINTAGE ALPHABET BLOCKS;-0.19563581640331074
BOX OF VINTAGE JIGSAW BLOCKS ;-0.3463203463203463
BOYS ALPHABET IRON ON PATCHES;-17.071724955542383
BOYS VINTAGE TIN SEASIDE BUCKET;-0.5582693649685974
BREAD BIN DINER STYLE IVORY;-0.16484957476302872
BREAD BIN DINER STYLE MINT;-0.6048387096774194
BREAD BIN DINER STYLE PINK;-0.43929712460063897
BREAD BIN DINER STYLE RED ;-0.22604764388801948
BROCADE RING PURSE ;-0.004337830217325294
BROCANTE COAT RACK;-0.7009345794392523
BROCANTE SHELF WITH HOOKS;-0.9032258064516128
BUFFALO BILL TREASURE BOOK BOX;-0.17452006980802792
BULL DOG BOTTLE OPENER;-0.37746806039488967
BULL DOG BOTTLE TOP WALL CLOCK;-0.5076142131979695
BUNDLE OF 3 ALPHABET EXERCISE BOOKS;-0.04249291784702549
BUNDLE OF 3 RETRO NOTE BOOKS;-0.06960556844547564
BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ;-0.0588235294117647
BUNNY EGG GARLAND;-3.937007874015748
BUNNY WOODEN PAINTED WITH BIRD ;-0.20020020020020018
BUNNY WOODEN PAINTED WITH FLOWER ;-0.35335689045936397
BUTTERFLIES STICKERS;-1.929260450160772
BUTTERFLY HAIR BAND;-23.076923076923077
BUTTON BOX ;-0.8121277747698972
CABIN BAG VINTAGE PAISLEY;-7.916666666666667
CABIN BAG VINTAGE RETROSPOT;-0.5165289256198347
CACTI T-LIGHT CANDLES;-0.46622264509990485
CAKE STAND 3 TIER MAGIC GARDEN;-1.555478741790529
CAKE STAND LOVEBIRD 2 TIER PINK;-0.7751937984496124
CAKE STAND LOVEBIRD 2 TIER WHITE;-1.164021164021164
CAKE STAND VICTORIAN FILIGREE LARGE;-1.8518518518518516
CAKE STAND VICTORIAN FILIGREE MED;-0.3125
CAKE STAND VICTORIAN FILIGREE SMALL;-0.4043126684636119
CAKE STAND WHITE TWO TIER LACE;-0.2932551319648094
CALENDAR PAPER CUT DESIGN;-0.10893246187363835
CAMOUFLAGE DESIGN TEDDY;-0.06134969325153375
CAMOUFLAGE LED TORCH;-0.370919881305638
CANDLEHOLDER PINK HANGING HEART;-0.10666666666666666
CANDY HEART HANGING DECORATION;-0.07593014426727411
CANDY SPOT CUSHION COVER;-0.2958579881656805
CANDY SPOT HAND BAG;-0.7782101167315175
CARAVAN SQUARE TISSUE BOX;-0.6263048016701461
CARD BILLBOARD FONT;-1.1781553082080323
CARD BIRTHDAY COWBOY;-0.34532374100719426
CARD CAT AND TREE ;-0.7348438456827924
CARD CHRISTMAS VILLAGE;-0.8986239820275204
CARD DOLLY GIRL ;-0.18692986391505909
CARD HOLDER GINGHAM HEART;-13.211382113821138
CARD HOLDER LOVE BIRD LARGE ;-0.6818181818181818
CARD HOLDER LOVE BIRD SMALL;-0.6097560975609756
CARD I LOVE LONDON ;-0.22902948754652158
CARDHOLDER GINGHAM CHRISTMAS TREE;-2.777777777777778
CARDHOLDER HOLLY WREATH METAL;-0.1524390243902439
CARNIVAL BRACELET;-2.3255813953488373
CAROUSEL DESIGN WASHBAG;-1.8181818181818183
CAT BOWL VINTAGE CREAM;-1.2875536480686696
CERAMIC BOWL WITH LOVE HEART DESIGN;-0.9708737864077669
CERAMIC BOWL WITH STRAWBERRY DESIGN;-0.2054794520547945
CERAMIC CAKE BOWL + HANGING CAKES;-0.4405286343612334
CERAMIC CAKE DESIGN SPOTTED MUG;-0.2657689581856839
CERAMIC CAKE DESIGN SPOTTED PLATE;-0.352843503528435
CERAMIC CAKE STAND + HANGING CAKES;-0.3891050583657588
CERAMIC CHERRY CAKE MONEY BANK;-0.10158013544018057
CERAMIC HEART FAIRY CAKE MONEY BANK;-0.18108223263740947
CERAMIC LOVE HEART MONEY BANK;-1.6643550624133148
CERAMIC PIRATE CHEST MONEY BANK;-0.17482517482517482
CERAMIC PLATE STRAWBERRY DESIGN;-2.238805970149254
CERAMIC STRAWBERRY CAKE MONEY BANK;-0.08321924243644466
CERAMIC STRAWBERRY DESIGN MUG;-0.16987542468856173
CERAMIC STRAWBERRY MONEY BOX;-0.10204081632653061
CHALKBOARD KITCHEN ORGANISER;-500.0
CHARLIE & LOLA WASTEPAPER BIN BLUE;-0.15037593984962408
CHARLIE + LOLA BISCUITS TINS;-0.18083182640144665
CHARLIE AND LOLA FIGURES TINS;-0.08234519104084322
CHARLOTTE BAG APPLES DESIGN;-0.2984595635430039
CHARLOTTE BAG DOLLY GIRL DESIGN;-0.06248798308017689
CHARLOTTE BAG PINK POLKADOT;-0.1654897813170747
CHARLOTTE BAG SUKI DESIGN;-0.06943672925230529
CHARLOTTE BAG VINTAGE ALPHABET ;-0.4532080485952923
CHERRY BLOSSOM  DECORATIVE FLASK;-0.6279434850863422
CHERRY BLOSSOM DECORATIVE FLASK;-1.2411347517730495
CHERRY CROCHET FOOD COVER;-0.38167938931297707
CHERUB HEART DECORATION GOLD;-0.9668508287292817
CHERUB HEART DECORATION SILVER ;-1.650943396226415
CHEST 7 DRAWER MA CAMPAGNE;-5.88235294117647
CHEST OF DRAWERS GINGHAM HEART ;-0.9395973154362416
CHILDREN'S APRON DOLLY GIRL ;-0.08067118425298485
CHILDREN'S CIRCUS PARADE MUG;-0.3551251008878128
CHILDREN'S SPACEBOY MUG;-0.2442528735632184
CHILDRENS APRON SPACEBOY DESIGN;-0.08060182697474476
CHILDRENS CUTLERY CIRCUS PARADE;-0.2982107355864811
CHILDRENS CUTLERY DOLLY GIRL ;-0.15114873035066506
CHILDRENS CUTLERY POLKADOT BLUE;-0.1055594651653765
CHILDRENS CUTLERY POLKADOT GREEN ;-0.23861967694566813
CHILDRENS CUTLERY POLKADOT PINK;-0.10129146619397315
CHILDRENS CUTLERY RETROSPOT RED ;-0.2068252326783868
CHILDRENS CUTLERY SPACEBOY ;-0.5524861878453039
CHILDRENS DOLLY GIRL MUG;-0.18003420649923485
CHILDRENS TOY COOKING UTENSIL SET;-0.39546079779917465
CHILDS BREAKFAST SET CIRCUS PARADE;-0.36533131771227007
CHILDS BREAKFAST SET DOLLY GIRL ;-1.7558528428093645
CHILDS BREAKFAST SET SPACEBOY ;-0.24587706146926536
CHILDS GARDEN FORK BLUE ;-1.3029315960912053
CHILDS GARDEN FORK PINK;-1.405152224824356
CHILDS GARDEN SPADE PINK;-0.7407407407407408
CHILLI LIGHTS;-0.1303483559813602
CHOC TRUFFLE GOLD TRINKET POT ;-0.49261083743842365
CHOCOLATE 1 WICK MORRIS BOX CANDLE;-1.6483516483516485
CHOCOLATE BOX RIBBONS ;-0.40840140023337224
CHOCOLATE CALCULATOR;-2.6737967914438503
CHRISTMAS CARD SINGING ANGEL;-3.007518796992481
CHRISTMAS CRAFT LITTLE FRIENDS;-0.3632161135875846
CHRISTMAS CRAFT TREE TOP ANGEL;-0.14388489208633093
CHRISTMAS CRAFT WHITE FAIRY ;-0.16980549552330965
CHRISTMAS DECOUPAGE CANDLE;-1.9900497512437811
CHRISTMAS GINGHAM HEART;-28.51485148514851
CHRISTMAS GINGHAM STAR;-6.789250353606789
CHRISTMAS GINGHAM TREE;-0.04987531172069825
CHRISTMAS HANGING STAR WITH BELL;-0.5011892626571526
CHRISTMAS LIGHTS 10 REINDEER;-0.15731030228254164
CHRISTMAS LIGHTS 10 SANTAS ;-1.188242651657286
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES;-0.23292457354250873
CHRISTMAS METAL POSTCARD WITH BELLS;-0.1933372992266508
CHRISTMAS METAL TAGS ASSORTED ;-1.5664845173041895
CHRISTMAS MUSICAL ZINC STAR;-1.244167962674961
CHRISTMAS MUSICAL ZINC TREE;-0.6072874493927125
CHRISTMAS PUDDING TRINKET POT ;-0.04079513425307817
CHRISTMAS RETROSPOT ANGEL WOOD;-0.053806833467850416
CHRISTMAS RETROSPOT STAR WOOD;-0.5582137161084529
CHRISTMAS RETROSPOT TREE WOOD;-0.4723837209302326
CHRISTMAS STAR WISH LIST CHALKBOARD;-0.11983510689291536
CHRISTMAS TOILET ROLL;-0.528169014084507
CHRISTMAS TREE DECORATION WITH BELL;-2.9629629629629632
CHRISTMAS TREE HANGING GOLD;-1.5483870967741935
CHRISTMAS TREE HANGING SILVER ;-1.5170670037926675
CHRISTMAS TREE HEART DECORATION;-0.047080979284369114
CHRISTMAS TREE PAINTED ZINC ;-0.6360279031596225
